Date,Open,High,Low,Close
2006-05-22,0.990651,0.993865,0.976475,0.978319
2006-05-29,0.979584,0.994339,0.973813,0.98787
2006-06-05,0.987975,0.990282,0.969579,0.971797
2006-06-12,0.970952,0.974964,0.916322,0.924823
2006-06-19,0.924823,0.926623,0.903277,0.905918
2006-06-26,0.906466,0.922557,0.902061,0.922058
2006-07-03,0.921061,0.92598,0.915241,0.924731
2006-07-10,0.924631,0.925031,0.915569,0.91887
2006-07-17,0.91887,0.91987,0.877858,0.895147
2006-07-24,0.895147,0.92088,0.885419,0.918464
2006-07-31,0.918464,0.93979,0.917922,0.937432
2006-08-07,0.937432,0.940527,0.921353,0.923209
2006-08-14,0.923209,0.926725,0.907555,0.909489
2006-08-21,0.909489,0.939241,0.908812,0.933011
2006-08-28,0.933011,0.941162,0.932517,0.939585
2006-09-04,0.939585,0.940571,0.909913,0.911036
2006-09-11,0.911036,0.916946,0.90642,0.911071
2006-09-18,0.911071,0.927558,0.90768,0.924833
2006-09-25,0.924833,0.927996,0.897944,0.902281
2006-10-02,0.902281,0.970503,0.899968,0.961406
2006-10-09,0.961406,0.961766,0.872719,0.874935
2006-10-16,0.874935,0.894973,0.873049,0.893692
2006-10-23,0.893692,0.899756,0.886099,0.898004
2006-10-30,0.898004,0.919828,0.897388,0.913579
2006-11-06,0.913579,0.919299,0.907058,0.913369
2006-11-13,0.913369,0.915615,0.904572,0.911941
2006-11-20,0.911941,0.914732,0.885194,0.900535
2006-11-27,0.900535,0.95298,0.900162,0.950483
2006-12-04,0.950483,0.965976,0.944817,0.955797
2006-12-11,0.955797,0.989083,0.952567,0.978404
2006-12-18,0.978404,0.992321,0.974293,0.984482
2006-12-25,0.985588,0.991977,0.980563,0.982092
2007-01-01,0.982092,0.990168,0.956813,0.958651
2007-01-08,0.958651,0.970073,0.955676,0.968935
2007-01-15,0.968935,0.974971,0.928392,0.934739
2007-01-22,0.934739,0.943311,0.928377,0.929943
2007-01-29,0.929943,0.935023,0.897773,0.906483
2007-02-05,0.906483,0.915455,0.900308,0.904785
2007-02-12,0.904785,0.907707,0.881492,0.883576
2007-02-19,0.88557,0.88741,0.87874,0.886506
2007-02-26,0.886506,0.888403,0.875704,0.87647
2007-03-05,0.87647,0.887592,0.865418,0.885804
2007-03-12,0.885804,0.916675,0.882641,0.912398
2007-03-19,0.912257,0.926807,0.910988,0.92178
2007-03-26,0.92178,0.926572,0.912268,0.918429
2007-04-02,0.918476,0.93977,0.917729,0.933687
2007-04-09,0.933687,0.94282,0.931025,0.941825
2007-04-16,0.941208,0.966242,0.941114,0.961587
2007-04-23,0.962403,0.962882,0.915832,0.921318
2007-04-30,0.921318,0.925467,0.901779,0.905824
2007-05-07,0.905824,0.931263,0.903415,0.922927
2007-05-14,0.922927,0.959143,0.919527,0.953158
2007-05-21,0.953158,0.954027,0.908744,0.914644
2007-05-28,0.914644,0.943767,0.912201,0.943434
2007-06-04,0.943434,0.950287,0.923178,0.925907
2007-06-11,0.925907,0.938936,0.924495,0.937465
2007-06-18,0.937465,0.953717,0.937465,0.95324
2007-06-25,0.95324,0.954671,0.936417,0.943654
2007-07-02,0.943654,1.168272,0.943137,1.162722
2007-07-09,1.163069,1.172492,0.949444,0.953946
2007-07-16,0.953618,0.96225,0.953149,0.960614
2007-07-23,0.960941,0.977317,0.959316,0.959458
2007-07-30,0.958415,0.98101,0.955999,0.978709
2007-08-06,0.977894,0.981058,0.959763,0.963239
2007-08-13,0.962716,0.964763,0.945998,0.953989
2007-08-20,0.953749,0.95837,0.937057,0.952769
2007-08-27,0.9531,0.983472,0.946475,0.980021
2007-09-03,0.980604,1.001712,0.975695,0.999741
2007-09-10,0.999396,1.002304,0.966703,0.966944
2007-09-17,0.966149,1.128619,0.957932,1.127955
2007-09-24,1.128373,1.150067,1.121422,1.149645
2007-10-01,1.149477,1.151556,1.113672,1.12151
2007-10-08,1.12129,1.121839,1.045755,1.050429
2007-10-15,1.051173,1.10325,1.048286,1.102589
2007-10-22,1.104067,1.134804,1.088936,1.132355
2007-10-29,1.133513,1.141953,1.103401,1.115844
2007-11-05,1.115631,1.142971,1.10981,1.129457
2007-11-12,1.12627,1.145191,1.108554,1.127462
2007-11-19,1.128544,1.158906,1.1236,1.150199
2007-11-26,1.149808,1.16918,1.149808,1.15383
2007-12-03,1.153045,1.160565,1.122497,1.130017
2007-12-10,1.129205,1.141392,1.05561,1.056967
2007-12-17,1.055552,1.152439,1.053246,1.131018
2007-12-24,1.131725,1.132319,1.0437,1.052333
2007-12-31,0.966781,0.974332,0.908901,0.910841
2008-01-07,0.911881,0.965005,0.907908,0.955327
2008-01-14,0.955947,1.001151,0.953285,0.988556
2008-01-21,0.990149,1.081685,0.978135,1.079941
2008-01-28,1.081195,1.086083,0.961293,0.961763
2008-02-04,0.961371,1.013715,0.958955,1.003095
2008-02-11,1.003069,1.01222,0.997895,1.000768
2008-02-18,0.998992,1.024337,0.992964,1.022414
2008-02-25,1.022414,1.033012,0.998015,1.003434
2008-03-03,1.003434,1.137562,1.000298,1.133538
2008-03-10,1.133538,1.137787,1.0178,1.026148
2008-03-17,1.026148,1.084449,1.01209,1.066627
2008-03-24,1.066627,1.079832,1.028342,1.03129
2008-03-31,1.03129,1.066486,1.020454,1.060124
2008-04-07,1.060124,1.06139,1.014261,1.017874
2008-04-14,1.017874,1.05583,1.011706,1.053085
2008-04-21,1.053085,1.057293,1.005757,1.013455
2008-04-28,1.013455,1.020519,0.953877,0.959151
2008-05-05,0.959151,1.048286,0.954446,1.036894
2008-05-12,1.036894,1.042752,0.979538,0.989205
2008-05-19,0.989205,0.997537,0.964026,0.973237
2008-05-26,0.973237,0.975522,0.94739,0.953886
2008-06-02,0.953886,1.030756,0.943687,1.028928
2008-06-09,1.028928,1.034235,0.950789,0.953889
2008-06-16,0.953889,0.965063,0.878396,0.891357
2008-06-23,0.891357,0.960545,0.883235,0.960261
2008-06-30,0.960261,0.963237,0.922815,0.924022
2008-07-07,0.924022,0.960965,0.916031,0.956589
2008-07-14,0.956589,0.970325,0.929788,0.933207
2008-07-21,0.933207,0.95778,0.929372,0.951741
2008-07-28,0.951741,0.954844,0.944397,0.944737
2008-08-04,0.944737,0.971984,0.934395,0.952331
2008-08-11,0.952331,0.955118,0.877039,0.882516
2008-08-18,0.882516,0.914452,0.878219,0.900584
2008-08-25,0.900584,0.904511,0.871397,0.873986
2008-09-01,0.873986,0.902458,0.852601,0.891391
2008-09-08,0.891391,0.908315,0.82174,0.845084
2008-09-15,0.845084,1.020678,0.835197,1.018785
2008-09-22,1.018785,1.034789,0.973329,0.979311
2008-09-29,0.979311,1.037764,0.944148,1.030542
2008-10-06,1.030542,1.03416,0.982335,0.998261
2008-10-13,0.998261,1.287402,0.991062,1.265562
2008-10-20,1.265562,1.281221,1.158575,1.207512
2008-10-27,1.207512,1.211498,1.004866,1.019378
2008-11-03,1.019378,1.038264,0.879788,0.887679
2008-11-10,0.887679,0.899773,0.728881,0.740872
2008-11-17,0.740872,0.856783,0.732986,0.835176
2008-11-24,0.835176,0.87279,0.806056,0.818231
2008-12-01,0.818231,0.847579,0.784846,0.836398
2008-12-08,0.836398,0.854083,0.722719,0.733053
2008-12-15,0.733053,0.767395,0.692768,0.697726
2008-12-22,0.697726,0.736204,0.686206,0.728488
2008-12-29,0.728488,0.788649,0.71489,0.777859
2009-01-05,0.777859,0.867238,0.77413,0.855539
2009-01-12,0.855539,0.94923,0.816256,0.934352
2009-01-19,0.934352,0.944712,0.731179,0.747588
2009-01-26,0.747588,0.771313,0.697251,0.717993
2009-02-02,0.717993,0.717993,0.679255,0.70216
2009-02-09,0.70216,0.724834,0.685453,0.714724
2009-02-16,0.714724,0.714724,0.624232,0.638973
2009-02-23,0.638973,0.680029,0.636271,0.666426
2009-03-02,0.666426,0.666426,0.618865,0.622812
2009-03-09,0.622812,0.688853,0.605813,0.684285
2009-03-16,0.684285,0.696657,0.585009,0.610258
2009-03-23,0.610258,0.650406,0.610258,0.631335
2009-03-30,0.631335,0.68146,0.622947,0.680441
2009-04-06,0.680441,0.763209,0.669232,0.756759
2009-04-13,0.756759,0.771693,0.676334,0.677539
2009-04-20,0.677539,0.711194,0.663165,0.705571
2009-04-27,0.705571,0.774678,0.698779,0.772683
2009-05-04,0.772683,0.805328,0.768704,0.805238
2009-05-11,0.805238,0.81148,0.743209,0.74848
2009-05-18,0.74848,0.814308,0.746056,0.812306
2009-05-25,0.812306,0.829181,0.805693,0.827323
2009-06-01,0.827323,0.89136,0.827231,0.854567
2009-06-08,0.854567,0.885645,0.845318,0.875256
2009-06-15,0.875256,0.896709,0.863619,0.893147
2009-06-22,0.893147,0.908955,0.877575,0.904663
2009-06-29,0.904663,0.941735,0.899084,0.929059
2009-07-06,0.929059,0.967981,0.916166,0.957704
2009-07-13,0.957704,0.965865,0.9399,0.944361
2009-07-20,0.944361,0.99094,0.942893,0.981494
2009-07-27,0.981494,1.033823,0.978752,1.031969
2009-08-03,1.031969,1.064645,1.03145,1.042163
2009-08-10,1.042163,1.044399,0.890815,0.898397
2009-08-17,0.898397,0.901544,0.882873,0.888906
2009-08-24,0.888906,0.892104,0.863902,0.870288
2009-08-31,0.870288,0.879525,0.861731,0.878539
2009-09-07,0.878539,0.893724,0.874643,0.889961
2009-09-14,0.889961,0.890788,0.863646,0.863742
2009-09-21,0.863237,0.8724,0.827305,0.828215
2009-09-28,0.829847,0.859187,0.819742,0.847982
2009-10-05,0.847982,0.854989,0.828655,0.829488
2009-10-12,0.829488,0.848471,0.822445,0.846262
2009-10-19,0.846262,0.878753,0.840224,0.858382
2009-10-26,0.858382,0.910833,0.855461,0.900306
2009-11-02,0.900306,0.9173,0.892023,0.915784
2009-11-09,0.915784,0.928708,0.910174,0.920017
2009-11-16,0.920017,0.930196,0.883206,0.885991
2009-11-23,0.885991,0.897236,0.871802,0.882507
2009-11-30,0.882507,0.914577,0.877648,0.899504
2009-12-07,0.899504,0.903311,0.889074,0.893799
2009-12-14,0.893799,0.898333,0.869727,0.874446
2009-12-21,0.874446,0.87585,0.853867,0.854816
2009-12-28,0.854816,1.034506,0.848675,1.029887
2010-01-04,1.029887,1.034844,1.012541,1.020796
2010-01-11,1.020796,1.034073,1.020183,1.027864
2010-01-18,1.027864,1.06884,1.027358,1.052747
2010-01-25,1.052747,1.08318,1.050338,1.063667
2010-02-01,1.063667,1.072551,1.038398,1.043111
2010-02-08,1.043111,1.051106,1.015527,1.022824
2010-02-15,1.022824,1.030884,0.997601,1.004779
2010-02-22,1.004779,1.012692,0.98418,0.990507
2010-03-01,0.990507,0.990507,0.960212,0.98758
2010-03-08,0.98758,1.000346,0.973926,0.998275
2010-03-15,0.998275,1.003166,0.970197,0.972171
2010-03-22,0.972171,0.980259,0.963999,0.97069
2010-03-29,0.97069,1.002008,0.97011,0.995811
2010-04-05,0.995811,1.005266,0.988696,1.004391
2010-04-12,1.004391,1.011392,0.984648,0.986199
2010-04-19,0.986199,0.991708,0.973428,0.985587
2010-04-26,0.985587,0.993265,0.971298,0.982562
2010-05-03,0.982562,0.984245,0.929957,0.952037
2010-05-10,0.952037,0.967128,0.928714,0.931341
2010-05-17,0.931341,0.93193,0.910221,0.926625
2010-05-24,0.926625,0.945858,0.912262,0.935552
2010-05-31,0.935552,0.954155,0.933021,0.934969
2010-06-07,0.934969,0.952466,0.926765,0.938107
2010-06-14,0.938107,0.957461,0.937703,0.949196
2010-06-21,0.949196,0.968206,0.940405,0.968077
2010-06-28,0.968077,0.980766,0.95789,0.978692
2010-07-05,0.978692,0.980657,0.966924,0.967592
2010-07-12,0.967592,0.989029,0.960364,0.977938
2010-07-19,0.977938,0.999295,0.968663,0.997878
2010-07-26,0.997878,1.020938,0.996682,1.018827
2010-08-02,1.018827,1.036965,1.018827,1.033347
2010-08-09,1.033347,1.035263,1.004805,1.006684
2010-08-16,1.006684,1.01483,1.000237,1.004739
2010-08-23,1.004739,1.010354,0.99213,1.000124
2010-08-30,1.000124,1.004166,0.9873,0.995636
2010-09-06,0.995636,1.000213,0.984744,0.988623
2010-09-13,0.988623,1.007147,0.988314,1.00027
2010-09-20,1.00027,1.006115,0.990766,1.005055
2010-09-27,1.005055,1.01573,0.998203,1.010053
2010-10-04,1.010053,1.016164,1.003627,1.011758
2010-10-11,1.011758,1.017819,0.996808,1.010059
2010-10-18,1.010059,1.011329,0.990786,0.993848
2010-10-25,0.993848,1.021562,0.992301,1.020543
2010-11-01,1.020543,1.03687,1.016747,1.029649
2010-11-08,1.029649,1.031405,1.00908,1.020188
2010-11-15,1.020188,1.021307,0.99536,1.003685
2010-11-22,1.003685,1.009806,0.977242,0.978246
2010-11-29,0.978246,0.988435,0.971186,0.987402
2010-12-06,0.987402,0.99062,0.967396,0.976151
2010-12-13,0.976151,0.982406,0.955463,0.959401
2010-12-20,0.959401,0.963018,0.935871,0.941064
